ID Mesin,TERMINAL LOCATION,SEKTOR,WEEK
S1AWAJ9N,BTM MP CITYSQUAREMALL 02,NAGOYA,Week 4
S1RH109L,BTM PB ERACIPTASERAYA 02,NAGOYA,Week 4
S1RH10SQ,BTM CB PRIORITAS 01,NAGOYA,Week 4
S1RH10SS,BTM RM A2 FOODCOURT 01,NAGOYA,Week 4
S1RH1JIN,BTM HT NAGOYAMANSION 01,NAGOYA,Week 4
S1RH1JS0,BTM PB BALOI KUSUMA 01,NAGOYA,Week 4
S1RH1JS9,BTM CB RAJAALIHAJI 02,NAGOYA,Week 4
S1RH1JSL,BTM PB ERACIPTASERAYA 01,NAGOYA,Week 4
S1RH1JSM,BTM CB LBKBAJA 01,NAGOYA,Week 4
S1RH1JSQ,BTM PB NORISA 01,NAGOYA,Week 4
S1RH1T97,BTM RS SANTAELISABETH 02,NAGOYA,Week 4
S1RH1T9E,BTM PB MAJESTYRADENP 01,NAGOYA,Week 4
S1RH1T9K,BTM SM UTAMAHARDWARE 01,NAGOYA,Week 4
S1RH1T9X,BTM MP TOP100JODOH 02,NAGOYA,Week 4
S1RH1TI4,BTM MP GRAND BATAM 01,NAGOYA,Week 4
S1RH1TIG,BTM MP DIAMONDCITY 01,NAGOYA,Week 4
S1RH1TII,BTM MP NAGOYAHILL 02,NAGOYA,Week 4
S1RH1TIJ,BTM CB IMAM BONJOL 05,NAGOYA,Week 4
S1RHA0IP,BTM CB IMAMBONJOL 04,NAGOYA,Week 4
S1RK10SV,BTM SB GRAND BATAM CRM01,NAGOYA,Week 4
S1RK10SW,BTM IM NAGOYABSNISCNTR 01,NAGOYA,Week 4
S1RK1JI4,BTM SB GRAND BATAM 01,NAGOYA,Week 4
S1RKAJS9,BTM MP UTAMA HARDWARE 03,NAGOYA,Week 4
S1RKAJSB,BTM RS HARAPANBUNDA 01,NAGOYA,Week 4
S1RKAJSN,BTM MP NAGOYA HILL CRM01,NAGOYA,Week 4
S1ROAJSC,BTM CB LBKBAJA CRM 03,NAGOYA,Week 4
S1ROAJSD,BTM HT PLANETHOLIDAY 01,NAGOYA,Week 4
S1AW1THR,PBR ID PT RSUP PARIT 01,SAMBU,Week 4
S1AW1TRZ,TBH ID PTRSUP PLBURUNG 01,SAMBU,Week 4
S1AWA081,PBR ID RSUP PULA BURUNG,SAMBU,Week 4
S1AWA0RD,PBR ID PULAU BURUNG KM.9,SAMBU,Week 4
S1RH10RR,PBR PS PULAU SAMBU 01,SAMBU,Week 4
S1RH1JHV,TBH CB PULAU SAMBU 02,SAMBU,Week 4
S1RH1JRQ,PBR PS PULAU SAMBU 02,SAMBU,Week 4
S1RH1JRU,TBH ID PTRSUP PLBURUNG 02,SAMBU,Week 4
S1RH1JRW,PBR PS PULAU SAMBU 03,SAMBU,Week 4
S1RHA08Q,PBR CB SAMBUSEI GUNTUNG01,SAMBU,Week 4
S1RHAJRZ,PBR HT PURISEIGUNTUNG 01,SAMBU,Week 4
S1RHKJHY,PBR ID PNJRUSEIGNTNG 01,SAMBU,Week 4
T0800277,PBR ID TBHTHIPKBAGATIS 01,THIP,Week 4
